Renderer: opengl
sim+ink(parallel)=33.4599 ms, shade+present(parallel)=25.2989 ms
sim+ink(parallel)=17.0306 ms, shade+present(parallel)=26.4072 ms
sim+ink(parallel)=16.6986 ms, shade+present(parallel)=26.6766 ms
sim+ink(parallel)=16.6667 ms, shade+present(parallel)=23.7371 ms
sim+ink(parallel)=17.6061 ms, shade+present(parallel)=25.7128 ms
sim+ink(parallel)=18.6081 ms, shade+present(parallel)=26.2836 ms
sim+ink(parallel)=20.7326 ms, shade+present(parallel)=25.8706 ms
sim+ink(parallel)=21.7285 ms, shade+present(parallel)=24.9994 ms
sim+ink(parallel)=27.5055 ms, shade+present(parallel)=25.558 ms
sim+ink(parallel)=25.4105 ms, shade+present(parallel)=27.2592 ms
sim+ink(parallel)=27.6655 ms, shade+present(parallel)=27.0014 ms
sim+ink(parallel)=30.2032 ms, shade+present(parallel)=25.8955 ms
sim+ink(parallel)=33.6019 ms, shade+present(parallel)=29.7846 ms
sim+ink(parallel)=33.099 ms, shade+present(parallel)=24.8976 ms
sim+ink(parallel)=36.8225 ms, shade+present(parallel)=25.4165 ms
sim+ink(parallel)=37.233 ms, shade+present(parallel)=26.9427 ms
sim+ink(parallel)=39.7124 ms, shade+present(parallel)=31.5104 ms
sim+ink(parallel)=42.614 ms, shade+present(parallel)=25.0546 ms
sim+ink(parallel)=45.8431 ms, shade+present(parallel)=24.0499 ms
sim+ink(parallel)=45.3289 ms, shade+present(parallel)=24.024 ms
FPS: 19
sim+ink(parallel)=49.6584 ms, shade+present(parallel)=24.9476 ms
sim+ink(parallel)=49.3922 ms, shade+present(parallel)=24.9915 ms
sim+ink(parallel)=51.3263 ms, shade+present(parallel)=26.9049 ms
sim+ink(parallel)=55.4942 ms, shade+present(parallel)=28.7246 ms
sim+ink(parallel)=55.6997 ms, shade+present(parallel)=23.9965 ms
sim+ink(parallel)=57.3072 ms, shade+present(parallel)=24.4457 ms
sim+ink(parallel)=63.5165 ms, shade+present(parallel)=24.0038 ms
sim+ink(parallel)=61.0742 ms, shade+present(parallel)=24.1267 ms
sim+ink(parallel)=64.6276 ms, shade+present(parallel)=23.9719 ms
sim+ink(parallel)=65.4149 ms, shade+present(parallel)=28.2639 ms
sim+ink(parallel)=66.471 ms, shade+present(parallel)=25.6094 ms
sim+ink(parallel)=62.381 ms, shade+present(parallel)=26.2163 ms
sim+ink(parallel)=61.8549 ms, shade+present(parallel)=23.9927 ms
FPS: 18
sim+ink(parallel)=62.0358 ms, shade+present(parallel)=25.1298 ms
