Renderer: opengl
sim+ink(parallel)=20.0214 ms, shade+present(parallel)=26.5313 ms
sim+ink(parallel)=17.5984 ms, shade+present(parallel)=31.0377 ms
sim+ink(parallel)=15.9063 ms, shade+present(parallel)=26.2009 ms
sim+ink(parallel)=18.2023 ms, shade+present(parallel)=23.8553 ms
sim+ink(parallel)=16.9454 ms, shade+present(parallel)=25.1949 ms
sim+ink(parallel)=19.5824 ms, shade+present(parallel)=23.4069 ms
sim+ink(parallel)=18.1144 ms, shade+present(parallel)=23.9873 ms
sim+ink(parallel)=19.7678 ms, shade+present(parallel)=28.0511 ms
sim+ink(parallel)=20.7931 ms, shade+present(parallel)=22.908 ms
sim+ink(parallel)=23.4671 ms, shade+present(parallel)=24.0559 ms
sim+ink(parallel)=24.9165 ms, shade+present(parallel)=23.2785 ms
sim+ink(parallel)=26.8073 ms, shade+present(parallel)=25.057 ms
sim+ink(parallel)=26.5635 ms, shade+present(parallel)=28.1764 ms
sim+ink(parallel)=28.186 ms, shade+present(parallel)=24.5411 ms
sim+ink(parallel)=28.9624 ms, shade+present(parallel)=22.211 ms
sim+ink(parallel)=30.5269 ms, shade+present(parallel)=25.1652 ms
sim+ink(parallel)=31.8226 ms, shade+present(parallel)=22.7382 ms
sim+ink(parallel)=36.215 ms, shade+present(parallel)=22.3475 ms
sim+ink(parallel)=34.8748 ms, shade+present(parallel)=22.1957 ms
sim+ink(parallel)=40.5415 ms, shade+present(parallel)=22.4183 ms
sim+ink(parallel)=37.4732 ms, shade+present(parallel)=26.0314 ms
sim+ink(parallel)=41.2888 ms, shade+present(parallel)=22.4885 ms
FPS: 21
sim+ink(parallel)=43.2992 ms, shade+present(parallel)=22.6481 ms
sim+ink(parallel)=42.2311 ms, shade+present(parallel)=25.5262 ms
sim+ink(parallel)=43.3802 ms, shade+present(parallel)=22.8804 ms
sim+ink(parallel)=47.0764 ms, shade+present(parallel)=22.764 ms
sim+ink(parallel)=46.4521 ms, shade+present(parallel)=25.3203 ms
sim+ink(parallel)=48.1961 ms, shade+present(parallel)=22.618 ms
sim+ink(parallel)=55.0308 ms, shade+present(parallel)=22.3004 ms
sim+ink(parallel)=51.7591 ms, shade+present(parallel)=22.5342 ms
sim+ink(parallel)=52.5989 ms, shade+present(parallel)=25.5272 ms
sim+ink(parallel)=53.9202 ms, shade+present(parallel)=29.8738 ms
sim+ink(parallel)=54.6832 ms, shade+present(parallel)=23.0427 ms
sim+ink(parallel)=57.232 ms, shade+present(parallel)=22.7445 ms
sim+ink(parallel)=55.2256 ms, shade+present(parallel)=28.1624 ms
