Renderer: opengl
sim+ink(parallel)=14.2378 ms, shade+present(parallel)=26.5514 ms
sim+ink(parallel)=16.1041 ms, shade+present(parallel)=28.5454 ms
sim+ink(parallel)=16.9003 ms, shade+present(parallel)=23.8758 ms
sim+ink(parallel)=17.2648 ms, shade+present(parallel)=24.6573 ms
sim+ink(parallel)=18.0201 ms, shade+present(parallel)=22.7493 ms
sim+ink(parallel)=17.4176 ms, shade+present(parallel)=23.3562 ms
sim+ink(parallel)=19.171 ms, shade+present(parallel)=24.3224 ms
sim+ink(parallel)=20.2263 ms, shade+present(parallel)=25.079 ms
sim+ink(parallel)=22.0879 ms, shade+present(parallel)=29.7108 ms
sim+ink(parallel)=24.1255 ms, shade+present(parallel)=32.4051 ms
sim+ink(parallel)=26.2721 ms, shade+present(parallel)=26.7579 ms
sim+ink(parallel)=26.7943 ms, shade+present(parallel)=25.7875 ms
sim+ink(parallel)=31.2643 ms, shade+present(parallel)=24.9896 ms
sim+ink(parallel)=34.1812 ms, shade+present(parallel)=25.0964 ms
sim+ink(parallel)=34.4948 ms, shade+present(parallel)=25.1023 ms
sim+ink(parallel)=35.9635 ms, shade+present(parallel)=27.6917 ms
sim+ink(parallel)=37.7533 ms, shade+present(parallel)=25.2697 ms
sim+ink(parallel)=41.3213 ms, shade+present(parallel)=25.033 ms
sim+ink(parallel)=41.9857 ms, shade+present(parallel)=26.9996 ms
sim+ink(parallel)=43.835 ms, shade+present(parallel)=25.1709 ms
sim+ink(parallel)=83.6256 ms, shade+present(parallel)=54.1685 ms
FPS: 20
sim+ink(parallel)=116.337 ms, shade+present(parallel)=55.0343 ms
sim+ink(parallel)=53.032 ms, shade+present(parallel)=24.5982 ms
sim+ink(parallel)=62.8045 ms, shade+present(parallel)=24.5393 ms
sim+ink(parallel)=63.5135 ms, shade+present(parallel)=24.1354 ms
sim+ink(parallel)=60.333 ms, shade+present(parallel)=31.8564 ms
sim+ink(parallel)=60.267 ms, shade+present(parallel)=31.4763 ms
sim+ink(parallel)=61.5268 ms, shade+present(parallel)=38.7628 ms
sim+ink(parallel)=64.0055 ms, shade+present(parallel)=31.3953 ms
sim+ink(parallel)=62.8582 ms, shade+present(parallel)=24.1991 ms
sim+ink(parallel)=61.4085 ms, shade+present(parallel)=24.4508 ms
FPS: 18
sim+ink(parallel)=63.1454 ms, shade+present(parallel)=25.0489 ms
sim+ink(parallel)=62.6656 ms, shade+present(parallel)=24.1204 ms
sim+ink(parallel)=65.9771 ms, shade+present(parallel)=25.6428 ms
sim+ink(parallel)=63.569 ms, shade+present(parallel)=24.7402 ms
sim+ink(parallel)=65.2217 ms, shade+present(parallel)=24.1678 ms
sim+ink(parallel)=63.7353 ms, shade+present(parallel)=28.0914 ms
sim+ink(parallel)=57.6347 ms, shade+present(parallel)=28.5037 ms
sim+ink(parallel)=54.102 ms, shade+present(parallel)=24.0412 ms
sim+ink(parallel)=58.172 ms, shade+present(parallel)=24.3571 ms
sim+ink(parallel)=58.1532 ms, shade+present(parallel)=26.1953 ms
sim+ink(parallel)=57.2846 ms, shade+present(parallel)=24.2226 ms
sim+ink(parallel)=56.1533 ms, shade+present(parallel)=26.8955 ms
FPS: 17
sim+ink(parallel)=54.8107 ms, shade+present(parallel)=25.4743 ms
sim+ink(parallel)=53.3472 ms, shade+present(parallel)=24.0683 ms
sim+ink(parallel)=53.7896 ms, shade+present(parallel)=24.4122 ms
sim+ink(parallel)=52.3978 ms, shade+present(parallel)=24.4585 ms
sim+ink(parallel)=47.0589 ms, shade+present(parallel)=31.2999 ms
sim+ink(parallel)=50.7093 ms, shade+present(parallel)=23.975 ms
sim+ink(parallel)=43.2248 ms, shade+present(parallel)=24.8982 ms
sim+ink(parallel)=42.7403 ms, shade+present(parallel)=28.3209 ms
sim+ink(parallel)=37.445 ms, shade+present(parallel)=24.6451 ms
sim+ink(parallel)=43.1379 ms, shade+present(parallel)=24.8323 ms
sim+ink(parallel)=37.6323 ms, shade+present(parallel)=28.9675 ms
sim+ink(parallel)=37.316 ms, shade+present(parallel)=24.2143 ms
sim+ink(parallel)=41.2582 ms, shade+present(parallel)=32.1064 ms
sim+ink(parallel)=41.0319 ms, shade+present(parallel)=26.5101 ms
FPS: 16
sim+ink(parallel)=43.1258 ms, shade+present(parallel)=30.2545 ms
sim+ink(parallel)=44.0223 ms, shade+present(parallel)=24.9982 ms
sim+ink(parallel)=45.8249 ms, shade+present(parallel)=24.9687 ms
sim+ink(parallel)=44.1214 ms, shade+present(parallel)=28.7185 ms
sim+ink(parallel)=45.6862 ms, shade+present(parallel)=25.0037 ms
sim+ink(parallel)=48.8631 ms, shade+present(parallel)=27.6992 ms
sim+ink(parallel)=94.452 ms, shade+present(parallel)=44.7624 ms
sim+ink(parallel)=52.7321 ms, shade+present(parallel)=23.9296 ms
