Renderer: opengl
sim+ink(parallel)=19.028 ms, shade+present(parallel)=26.4287 ms
sim+ink(parallel)=25.0552 ms, shade+present(parallel)=29.3556 ms
sim+ink(parallel)=22.076 ms, shade+present(parallel)=27.4395 ms
sim+ink(parallel)=24.4509 ms, shade+present(parallel)=26.121 ms
sim+ink(parallel)=26.2858 ms, shade+present(parallel)=23.7404 ms
sim+ink(parallel)=28.4177 ms, shade+present(parallel)=25.7254 ms
sim+ink(parallel)=32.1802 ms, shade+present(parallel)=25.7207 ms
sim+ink(parallel)=35.9165 ms, shade+present(parallel)=27.3323 ms
sim+ink(parallel)=39.4219 ms, shade+present(parallel)=27.3362 ms
sim+ink(parallel)=42.4647 ms, shade+present(parallel)=27.1756 ms
sim+ink(parallel)=52.9496 ms, shade+present(parallel)=26.4185 ms
sim+ink(parallel)=53.4691 ms, shade+present(parallel)=25.4367 ms
sim+ink(parallel)=57.0191 ms, shade+present(parallel)=28.6153 ms
sim+ink(parallel)=62.2656 ms, shade+present(parallel)=29.1254 ms
sim+ink(parallel)=85.725 ms, shade+present(parallel)=53.3076 ms
sim+ink(parallel)=82.9955 ms, shade+present(parallel)=25.4812 ms
FPS: 15
sim+ink(parallel)=78.2993 ms, shade+present(parallel)=25.2881 ms
sim+ink(parallel)=88.8696 ms, shade+present(parallel)=25.8966 ms
sim+ink(parallel)=87.2329 ms, shade+present(parallel)=25.5638 ms
sim+ink(parallel)=92.9036 ms, shade+present(parallel)=31.3381 ms
sim+ink(parallel)=98.8946 ms, shade+present(parallel)=25.4739 ms
sim+ink(parallel)=111.465 ms, shade+present(parallel)=25.3668 ms
sim+ink(parallel)=104.506 ms, shade+present(parallel)=28.8045 ms
sim+ink(parallel)=106.657 ms, shade+present(parallel)=25.299 ms
sim+ink(parallel)=97.7171 ms, shade+present(parallel)=25.2092 ms
FPS: 14
sim+ink(parallel)=102.627 ms, shade+present(parallel)=25.3244 ms
sim+ink(parallel)=98.5242 ms, shade+present(parallel)=29.1857 ms
sim+ink(parallel)=101.469 ms, shade+present(parallel)=25.9184 ms
sim+ink(parallel)=104.931 ms, shade+present(parallel)=25.4775 ms
sim+ink(parallel)=100.036 ms, shade+present(parallel)=27.7576 ms
sim+ink(parallel)=101.618 ms, shade+present(parallel)=25.412 ms
sim+ink(parallel)=94.7891 ms, shade+present(parallel)=25.1752 ms
sim+ink(parallel)=87.8402 ms, shade+present(parallel)=25.9531 ms
FPS: 13
sim+ink(parallel)=93.4233 ms, shade+present(parallel)=26.4751 ms
sim+ink(parallel)=83.7916 ms, shade+present(parallel)=25.3868 ms
sim+ink(parallel)=82.5801 ms, shade+present(parallel)=34.518 ms
sim+ink(parallel)=73.1857 ms, shade+present(parallel)=28.1937 ms
sim+ink(parallel)=70.6989 ms, shade+present(parallel)=28.7957 ms
sim+ink(parallel)=69.2351 ms, shade+present(parallel)=28.7852 ms
sim+ink(parallel)=69.4817 ms, shade+present(parallel)=28.8575 ms
sim+ink(parallel)=71.0526 ms, shade+present(parallel)=32.2691 ms
sim+ink(parallel)=74.0293 ms, shade+present(parallel)=25.7172 ms
sim+ink(parallel)=76.4938 ms, shade+present(parallel)=27.3884 ms
FPS: 12
