N,p,Tseq_ms,Tpar_ms,Speedup,Eficiencia,FPS_seq,FPS_omp
50,8,89.08231760327612,48.87140637577798,1.8227901386408185,0.22784876733010231,7.348777153846155,15.121428571428572
100,8,175.48728623187154,87.72350183048817,2.000459199302976,0.250057399912872,4.9720232307692305,10.693406593406593
200,8,327.644215074224,157.95636555649781,2.0742704095520117,0.25928380119400146,3.3283524166666667,6.930769230769231
