Renderer: opengl
sim+ink(parallel)=89.7047 ms, shade+present(parallel)=26.762 ms
sim+ink(parallel)=88.3156 ms, shade+present(parallel)=24.5072 ms
sim+ink(parallel)=88.1043 ms, shade+present(parallel)=25.3377 ms
FPS: 10
sim+ink(parallel)=87.5218 ms, shade+present(parallel)=24.6506 ms
sim+ink(parallel)=80.1466 ms, shade+present(parallel)=25.427 ms
sim+ink(parallel)=78.4392 ms, shade+present(parallel)=24.6754 ms
sim+ink(parallel)=84.2917 ms, shade+present(parallel)=25.8509 ms
sim+ink(parallel)=82.6498 ms, shade+present(parallel)=24.4161 ms
sim+ink(parallel)=85.2753 ms, shade+present(parallel)=28.9862 ms
sim+ink(parallel)=79.2569 ms, shade+present(parallel)=30.3898 ms
sim+ink(parallel)=89.3352 ms, shade+present(parallel)=24.6585 ms
sim+ink(parallel)=87.6174 ms, shade+present(parallel)=26.0276 ms
sim+ink(parallel)=88.0736 ms, shade+present(parallel)=29.4916 ms
FPS: 10
sim+ink(parallel)=88.0744 ms, shade+present(parallel)=25.4324 ms
sim+ink(parallel)=87.952 ms, shade+present(parallel)=28.528 ms
sim+ink(parallel)=91.1286 ms, shade+present(parallel)=29.0897 ms
sim+ink(parallel)=96.0954 ms, shade+present(parallel)=24.2831 ms
sim+ink(parallel)=95.4046 ms, shade+present(parallel)=25.4022 ms
sim+ink(parallel)=95.5824 ms, shade+present(parallel)=24.393 ms
sim+ink(parallel)=97.2481 ms, shade+present(parallel)=25.6568 ms
sim+ink(parallel)=98.4593 ms, shade+present(parallel)=29.616 ms
sim+ink(parallel)=97.8348 ms, shade+present(parallel)=24.6704 ms
FPS: 9
sim+ink(parallel)=92.2982 ms, shade+present(parallel)=25.2474 ms
sim+ink(parallel)=97.6949 ms, shade+present(parallel)=25.4801 ms
sim+ink(parallel)=93.652 ms, shade+present(parallel)=29.861 ms
sim+ink(parallel)=90.0345 ms, shade+present(parallel)=28.3046 ms
sim+ink(parallel)=88.1894 ms, shade+present(parallel)=25.9617 ms
sim+ink(parallel)=91.8065 ms, shade+present(parallel)=24.2193 ms
sim+ink(parallel)=88.7281 ms, shade+present(parallel)=25.6966 ms
sim+ink(parallel)=89.8989 ms, shade+present(parallel)=25.5266 ms
sim+ink(parallel)=91.6511 ms, shade+present(parallel)=29.2216 ms
FPS: 9
sim+ink(parallel)=98.0551 ms, shade+present(parallel)=28.3875 ms
sim+ink(parallel)=87.5466 ms, shade+present(parallel)=24.6374 ms
sim+ink(parallel)=88.4569 ms, shade+present(parallel)=28.9702 ms
