Renderer: opengl
sim+ink(parallel)=39.3575 ms, shade+present(parallel)=27.6427 ms
sim+ink(parallel)=19.8634 ms, shade+present(parallel)=29.5102 ms
sim+ink(parallel)=16.7612 ms, shade+present(parallel)=25.1046 ms
sim+ink(parallel)=17.2218 ms, shade+present(parallel)=26.0676 ms
sim+ink(parallel)=18.1623 ms, shade+present(parallel)=23.9432 ms
sim+ink(parallel)=20.4462 ms, shade+present(parallel)=23.5698 ms
sim+ink(parallel)=20.0174 ms, shade+present(parallel)=28.2508 ms
sim+ink(parallel)=23.0251 ms, shade+present(parallel)=25.5164 ms
sim+ink(parallel)=23.6491 ms, shade+present(parallel)=26.2458 ms
sim+ink(parallel)=29.2436 ms, shade+present(parallel)=25.1073 ms
sim+ink(parallel)=28.7228 ms, shade+present(parallel)=25.0824 ms
sim+ink(parallel)=34.4864 ms, shade+present(parallel)=26.9913 ms
sim+ink(parallel)=31.9203 ms, shade+present(parallel)=28.465 ms
sim+ink(parallel)=36.2593 ms, shade+present(parallel)=25.6265 ms
sim+ink(parallel)=37.2956 ms, shade+present(parallel)=25.185 ms
sim+ink(parallel)=42.894 ms, shade+present(parallel)=27.6816 ms
sim+ink(parallel)=40.1323 ms, shade+present(parallel)=25.2614 ms
sim+ink(parallel)=44.1154 ms, shade+present(parallel)=25.4525 ms
sim+ink(parallel)=43.7726 ms, shade+present(parallel)=27.4791 ms
sim+ink(parallel)=46.4926 ms, shade+present(parallel)=25.2865 ms
FPS: 19
sim+ink(parallel)=49.5012 ms, shade+present(parallel)=25.7317 ms
sim+ink(parallel)=50.4593 ms, shade+present(parallel)=25.3618 ms
sim+ink(parallel)=53.5926 ms, shade+present(parallel)=26.7259 ms
sim+ink(parallel)=54.5061 ms, shade+present(parallel)=25.9321 ms
sim+ink(parallel)=95.7662 ms, shade+present(parallel)=49.8702 ms
sim+ink(parallel)=69.8428 ms, shade+present(parallel)=24.5783 ms
sim+ink(parallel)=60.0613 ms, shade+present(parallel)=26.7477 ms
sim+ink(parallel)=61.9405 ms, shade+present(parallel)=27.5427 ms
sim+ink(parallel)=65.116 ms, shade+present(parallel)=25.7449 ms
sim+ink(parallel)=66.0592 ms, shade+present(parallel)=24.1729 ms
sim+ink(parallel)=63.923 ms, shade+present(parallel)=25.9214 ms
sim+ink(parallel)=63.9462 ms, shade+present(parallel)=24.4027 ms
FPS: 17
sim+ink(parallel)=62.8146 ms, shade+present(parallel)=25.1314 ms
sim+ink(parallel)=64.1927 ms, shade+present(parallel)=25.1059 ms
sim+ink(parallel)=63.6115 ms, shade+present(parallel)=25.1327 ms
sim+ink(parallel)=64.6625 ms, shade+present(parallel)=32.5429 ms
sim+ink(parallel)=61.0639 ms, shade+present(parallel)=27.2086 ms
sim+ink(parallel)=63.5768 ms, shade+present(parallel)=27.3025 ms
sim+ink(parallel)=57.3107 ms, shade+present(parallel)=28.437 ms
sim+ink(parallel)=57.0541 ms, shade+present(parallel)=24.1952 ms
sim+ink(parallel)=56.9197 ms, shade+present(parallel)=25.2751 ms
sim+ink(parallel)=58.4168 ms, shade+present(parallel)=29.6429 ms
sim+ink(parallel)=58.1923 ms, shade+present(parallel)=24.8788 ms
sim+ink(parallel)=54.3463 ms, shade+present(parallel)=27.3626 ms
FPS: 16
sim+ink(parallel)=56.0415 ms, shade+present(parallel)=33.1622 ms
sim+ink(parallel)=51.9102 ms, shade+present(parallel)=24.0236 ms
sim+ink(parallel)=48.9716 ms, shade+present(parallel)=24.9807 ms
sim+ink(parallel)=49.167 ms, shade+present(parallel)=28.6351 ms
sim+ink(parallel)=46.665 ms, shade+present(parallel)=27.6993 ms
sim+ink(parallel)=43.5584 ms, shade+present(parallel)=24.943 ms
sim+ink(parallel)=47.1245 ms, shade+present(parallel)=23.9858 ms
sim+ink(parallel)=39.8617 ms, shade+present(parallel)=35.9506 ms
sim+ink(parallel)=34.1767 ms, shade+present(parallel)=25.4554 ms
sim+ink(parallel)=36.4134 ms, shade+present(parallel)=25.2485 ms
sim+ink(parallel)=38.2459 ms, shade+present(parallel)=32.3816 ms
sim+ink(parallel)=41.2677 ms, shade+present(parallel)=27.5058 ms
sim+ink(parallel)=45.8004 ms, shade+present(parallel)=37.2696 ms
sim+ink(parallel)=45.8267 ms, shade+present(parallel)=25.5721 ms
FPS: 16
sim+ink(parallel)=52.4986 ms, shade+present(parallel)=28.5364 ms
sim+ink(parallel)=43.0028 ms, shade+present(parallel)=26.2853 ms
sim+ink(parallel)=59.0699 ms, shade+present(parallel)=25.6066 ms
sim+ink(parallel)=48.3621 ms, shade+present(parallel)=28.3639 ms
sim+ink(parallel)=46.7452 ms, shade+present(parallel)=26.6738 ms
sim+ink(parallel)=79.2192 ms, shade+present(parallel)=60.6141 ms
sim+ink(parallel)=118.141 ms, shade+present(parallel)=53.166 ms
sim+ink(parallel)=47.3748 ms, shade+present(parallel)=27.7147 ms
sim+ink(parallel)=50.1412 ms, shade+present(parallel)=25.4809 ms
sim+ink(parallel)=49.6745 ms, shade+present(parallel)=24.8652 ms
sim+ink(parallel)=52.1291 ms, shade+present(parallel)=24.7097 ms
sim+ink(parallel)=50.173 ms, shade+present(parallel)=28.1637 ms
FPS: 15
sim+ink(parallel)=50.1571 ms, shade+present(parallel)=26.054 ms
sim+ink(parallel)=50.7603 ms, shade+present(parallel)=25.8896 ms
sim+ink(parallel)=50.1903 ms, shade+present(parallel)=32.2129 ms
sim+ink(parallel)=50.4209 ms, shade+present(parallel)=28.5875 ms
sim+ink(parallel)=51.8253 ms, shade+present(parallel)=26.5936 ms
sim+ink(parallel)=50.6054 ms, shade+present(parallel)=33.2406 ms
sim+ink(parallel)=49.5655 ms, shade+present(parallel)=25.6781 ms
sim+ink(parallel)=54.1011 ms, shade+present(parallel)=24.8938 ms
sim+ink(parallel)=91.2742 ms, shade+present(parallel)=49.112 ms
sim+ink(parallel)=54.8078 ms, shade+present(parallel)=25.0524 ms
sim+ink(parallel)=53.5887 ms, shade+present(parallel)=24.8656 ms
sim+ink(parallel)=51.0877 ms, shade+present(parallel)=28.7528 ms
FPS: 14
sim+ink(parallel)=53.9005 ms, shade+present(parallel)=26.3374 ms
sim+ink(parallel)=55.1547 ms, shade+present(parallel)=25.5498 ms
sim+ink(parallel)=53.3824 ms, shade+present(parallel)=25.771 ms
sim+ink(parallel)=52.3117 ms, shade+present(parallel)=26.8375 ms
sim+ink(parallel)=52.1118 ms, shade+present(parallel)=27.8768 ms
sim+ink(parallel)=50.272 ms, shade+present(parallel)=28.7446 ms
sim+ink(parallel)=53.523 ms, shade+present(parallel)=24.7956 ms
sim+ink(parallel)=58.0408 ms, shade+present(parallel)=28.1092 ms
sim+ink(parallel)=53.4009 ms, shade+present(parallel)=28.7572 ms
sim+ink(parallel)=48.4877 ms, shade+present(parallel)=27.9699 ms
sim+ink(parallel)=46.3743 ms, shade+present(parallel)=25.6624 ms
sim+ink(parallel)=47.9476 ms, shade+present(parallel)=24.8141 ms
sim+ink(parallel)=51.2808 ms, shade+present(parallel)=26.0585 ms
FPS: 14
sim+ink(parallel)=47.26 ms, shade+present(parallel)=28.0124 ms
sim+ink(parallel)=47.2887 ms, shade+present(parallel)=24.4854 ms
sim+ink(parallel)=53.6532 ms, shade+present(parallel)=25.6273 ms
sim+ink(parallel)=50.1741 ms, shade+present(parallel)=26.2597 ms
sim+ink(parallel)=54.7872 ms, shade+present(parallel)=27.851 ms
sim+ink(parallel)=50.2128 ms, shade+present(parallel)=36.8353 ms
sim+ink(parallel)=49.6916 ms, shade+present(parallel)=24.5186 ms
sim+ink(parallel)=52.7608 ms, shade+present(parallel)=25.2713 ms
sim+ink(parallel)=53.1272 ms, shade+present(parallel)=30.3468 ms
sim+ink(parallel)=46.26 ms, shade+present(parallel)=29.0816 ms
sim+ink(parallel)=47.2526 ms, shade+present(parallel)=25.696 ms
sim+ink(parallel)=48.3296 ms, shade+present(parallel)=25.6672 ms
sim+ink(parallel)=50.0695 ms, shade+present(parallel)=25.639 ms
FPS: 14
sim+ink(parallel)=49.5026 ms, shade+present(parallel)=28.9295 ms
sim+ink(parallel)=50.8657 ms, shade+present(parallel)=28.9661 ms
sim+ink(parallel)=50.4928 ms, shade+present(parallel)=25.7069 ms
sim+ink(parallel)=51.8123 ms, shade+present(parallel)=26.1633 ms
sim+ink(parallel)=50.4565 ms, shade+present(parallel)=25.7177 ms
