Renderer: opengl
sim+ink(parallel)=37.416 ms, shade+present(parallel)=54.2089 ms
sim+ink(parallel)=90.7859 ms, shade+present(parallel)=50.7909 ms
sim+ink(parallel)=27.495 ms, shade+present(parallel)=28.8428 ms
sim+ink(parallel)=21.5803 ms, shade+present(parallel)=24.0731 ms
sim+ink(parallel)=23.7851 ms, shade+present(parallel)=27.4647 ms
sim+ink(parallel)=31.0434 ms, shade+present(parallel)=25.8845 ms
sim+ink(parallel)=32.1375 ms, shade+present(parallel)=25.2341 ms
sim+ink(parallel)=27.9768 ms, shade+present(parallel)=25.9442 ms
sim+ink(parallel)=32.6122 ms, shade+present(parallel)=27.0659 ms
sim+ink(parallel)=32.2798 ms, shade+present(parallel)=36.8067 ms
sim+ink(parallel)=34.2972 ms, shade+present(parallel)=25.0902 ms
sim+ink(parallel)=37.1722 ms, shade+present(parallel)=25.5232 ms
sim+ink(parallel)=38.5975 ms, shade+present(parallel)=28.254 ms
sim+ink(parallel)=52.2543 ms, shade+present(parallel)=25.1003 ms
sim+ink(parallel)=43.4069 ms, shade+present(parallel)=25.1376 ms
sim+ink(parallel)=48.9043 ms, shade+present(parallel)=25.3754 ms
FPS: 16
sim+ink(parallel)=47.2454 ms, shade+present(parallel)=31.9344 ms
sim+ink(parallel)=48.7179 ms, shade+present(parallel)=25.2118 ms
sim+ink(parallel)=52.152 ms, shade+present(parallel)=25.9006 ms
sim+ink(parallel)=52.5183 ms, shade+present(parallel)=25.1401 ms
sim+ink(parallel)=55.7281 ms, shade+present(parallel)=28.4936 ms
sim+ink(parallel)=56.6514 ms, shade+present(parallel)=28.556 ms
sim+ink(parallel)=58.8213 ms, shade+present(parallel)=25.0076 ms
sim+ink(parallel)=63.7437 ms, shade+present(parallel)=25.0976 ms
sim+ink(parallel)=64.1791 ms, shade+present(parallel)=25.1521 ms
sim+ink(parallel)=65.7528 ms, shade+present(parallel)=32.0542 ms
sim+ink(parallel)=67.7257 ms, shade+present(parallel)=25.3119 ms
sim+ink(parallel)=62.3669 ms, shade+present(parallel)=25.1179 ms
FPS: 15
sim+ink(parallel)=63.029 ms, shade+present(parallel)=25.0027 ms
sim+ink(parallel)=61.1733 ms, shade+present(parallel)=29.0974 ms
sim+ink(parallel)=61.7698 ms, shade+present(parallel)=29.7097 ms
sim+ink(parallel)=64.3886 ms, shade+present(parallel)=29.7569 ms
sim+ink(parallel)=62.1262 ms, shade+present(parallel)=28.8454 ms
sim+ink(parallel)=62.6365 ms, shade+present(parallel)=25.1015 ms
sim+ink(parallel)=68.2331 ms, shade+present(parallel)=25.0632 ms
sim+ink(parallel)=62.515 ms, shade+present(parallel)=24.3626 ms
sim+ink(parallel)=56.9135 ms, shade+present(parallel)=25.0041 ms
sim+ink(parallel)=58.7702 ms, shade+present(parallel)=25.0516 ms
sim+ink(parallel)=56.326 ms, shade+present(parallel)=29.9789 ms
sim+ink(parallel)=55.1734 ms, shade+present(parallel)=27.3829 ms
FPS: 14
sim+ink(parallel)=57.151 ms, shade+present(parallel)=25.7031 ms
sim+ink(parallel)=56.6215 ms, shade+present(parallel)=25.3713 ms
sim+ink(parallel)=54.6512 ms, shade+present(parallel)=24.1462 ms
sim+ink(parallel)=55.8273 ms, shade+present(parallel)=24.8998 ms
sim+ink(parallel)=47.2642 ms, shade+present(parallel)=27.466 ms
sim+ink(parallel)=46.0079 ms, shade+present(parallel)=24.9902 ms
sim+ink(parallel)=44.5854 ms, shade+present(parallel)=24.9412 ms
sim+ink(parallel)=43.5848 ms, shade+present(parallel)=28.0507 ms
sim+ink(parallel)=38.246 ms, shade+present(parallel)=23.9338 ms
sim+ink(parallel)=39.9399 ms, shade+present(parallel)=24.8881 ms
sim+ink(parallel)=37.6235 ms, shade+present(parallel)=29.2385 ms
sim+ink(parallel)=37.024 ms, shade+present(parallel)=24.9567 ms
sim+ink(parallel)=42.0392 ms, shade+present(parallel)=25.028 ms
sim+ink(parallel)=39.9548 ms, shade+present(parallel)=29.05 ms
FPS: 14
sim+ink(parallel)=43.2001 ms, shade+present(parallel)=25.0702 ms
sim+ink(parallel)=42.2927 ms, shade+present(parallel)=25.1539 ms
sim+ink(parallel)=43.5869 ms, shade+present(parallel)=29.3774 ms
sim+ink(parallel)=51.4891 ms, shade+present(parallel)=25.2407 ms
sim+ink(parallel)=46.238 ms, shade+present(parallel)=25.1787 ms
sim+ink(parallel)=49.7416 ms, shade+present(parallel)=25.1104 ms
sim+ink(parallel)=48.2487 ms, shade+present(parallel)=30.6371 ms
sim+ink(parallel)=54.3859 ms, shade+present(parallel)=25.1463 ms
sim+ink(parallel)=48.3036 ms, shade+present(parallel)=26.2185 ms
sim+ink(parallel)=62.7115 ms, shade+present(parallel)=33.4241 ms
sim+ink(parallel)=80.4772 ms, shade+present(parallel)=43.3844 ms
sim+ink(parallel)=55.3167 ms, shade+present(parallel)=24.4695 ms
sim+ink(parallel)=47.7489 ms, shade+present(parallel)=25.0633 ms
FPS: 14
sim+ink(parallel)=49.1514 ms, shade+present(parallel)=27.2125 ms
sim+ink(parallel)=48.3597 ms, shade+present(parallel)=25.0327 ms
sim+ink(parallel)=50.099 ms, shade+present(parallel)=29.5727 ms
sim+ink(parallel)=50.4652 ms, shade+present(parallel)=26.0599 ms
sim+ink(parallel)=53.4323 ms, shade+present(parallel)=25.6701 ms
sim+ink(parallel)=49.9687 ms, shade+present(parallel)=26.2411 ms
sim+ink(parallel)=51.5298 ms, shade+present(parallel)=25.0891 ms
sim+ink(parallel)=50.906 ms, shade+present(parallel)=25.5431 ms
sim+ink(parallel)=50.2947 ms, shade+present(parallel)=25.204 ms
sim+ink(parallel)=51.8394 ms, shade+present(parallel)=27.1963 ms
sim+ink(parallel)=49.7867 ms, shade+present(parallel)=25.5973 ms
sim+ink(parallel)=51.5901 ms, shade+present(parallel)=25.3168 ms
sim+ink(parallel)=54.2095 ms, shade+present(parallel)=25.6148 ms
sim+ink(parallel)=51.0534 ms, shade+present(parallel)=27.0713 ms
FPS: 14
sim+ink(parallel)=52.0818 ms, shade+present(parallel)=26.4585 ms
sim+ink(parallel)=53.7029 ms, shade+present(parallel)=28.3547 ms
sim+ink(parallel)=56.9153 ms, shade+present(parallel)=25.3509 ms
sim+ink(parallel)=53.8568 ms, shade+present(parallel)=25.2487 ms
sim+ink(parallel)=52.8638 ms, shade+present(parallel)=29.0678 ms
sim+ink(parallel)=52.9921 ms, shade+present(parallel)=25.2422 ms
sim+ink(parallel)=53.0022 ms, shade+present(parallel)=24.055 ms
sim+ink(parallel)=54.5657 ms, shade+present(parallel)=27.7814 ms
sim+ink(parallel)=47.6292 ms, shade+present(parallel)=25.02 ms
sim+ink(parallel)=49.3333 ms, shade+present(parallel)=28.4604 ms
sim+ink(parallel)=47.33 ms, shade+present(parallel)=25.1287 ms
sim+ink(parallel)=46.0544 ms, shade+present(parallel)=25.0667 ms
sim+ink(parallel)=48.4224 ms, shade+present(parallel)=25.0922 ms
FPS: 13
sim+ink(parallel)=46.085 ms, shade+present(parallel)=26.932 ms
sim+ink(parallel)=46.2213 ms, shade+present(parallel)=27.089 ms
sim+ink(parallel)=46.0116 ms, shade+present(parallel)=25.1728 ms
sim+ink(parallel)=46.1021 ms, shade+present(parallel)=26.4526 ms
sim+ink(parallel)=46.3906 ms, shade+present(parallel)=25.2716 ms
sim+ink(parallel)=49.7584 ms, shade+present(parallel)=25.016 ms
sim+ink(parallel)=48.3902 ms, shade+present(parallel)=25.7293 ms
sim+ink(parallel)=48.4587 ms, shade+present(parallel)=27.2444 ms
sim+ink(parallel)=54.1967 ms, shade+present(parallel)=25.0435 ms
sim+ink(parallel)=51.6497 ms, shade+present(parallel)=25.0505 ms
sim+ink(parallel)=50.9803 ms, shade+present(parallel)=24.9761 ms
sim+ink(parallel)=53.0386 ms, shade+present(parallel)=28.2129 ms
sim+ink(parallel)=51.1721 ms, shade+present(parallel)=27.8469 ms
sim+ink(parallel)=51.5012 ms, shade+present(parallel)=25.0443 ms
FPS: 13
sim+ink(parallel)=52.571 ms, shade+present(parallel)=25.0588 ms
sim+ink(parallel)=53.4351 ms, shade+present(parallel)=26.5639 ms
sim+ink(parallel)=48.2554 ms, shade+present(parallel)=27.2434 ms
sim+ink(parallel)=49.3789 ms, shade+present(parallel)=25.0121 ms
sim+ink(parallel)=53.123 ms, shade+present(parallel)=25.0173 ms
