Renderer: opengl
sim+ink(parallel)=32.3112 ms, shade+present(parallel)=36.4452 ms
sim+ink(parallel)=18.0339 ms, shade+present(parallel)=27.2309 ms
sim+ink(parallel)=15.6288 ms, shade+present(parallel)=24.1554 ms
sim+ink(parallel)=18.6956 ms, shade+present(parallel)=23.9781 ms
sim+ink(parallel)=18.6438 ms, shade+present(parallel)=25.1734 ms
sim+ink(parallel)=25.4662 ms, shade+present(parallel)=26.0849 ms
sim+ink(parallel)=20.9977 ms, shade+present(parallel)=25.991 ms
sim+ink(parallel)=22.0172 ms, shade+present(parallel)=27.2023 ms
sim+ink(parallel)=23.5925 ms, shade+present(parallel)=25.1375 ms
sim+ink(parallel)=29.222 ms, shade+present(parallel)=26.7145 ms
sim+ink(parallel)=31.0133 ms, shade+present(parallel)=25.7815 ms
sim+ink(parallel)=32.0952 ms, shade+present(parallel)=26.725 ms
sim+ink(parallel)=31.5947 ms, shade+present(parallel)=28.1173 ms
sim+ink(parallel)=33.9745 ms, shade+present(parallel)=25.1585 ms
sim+ink(parallel)=40.3849 ms, shade+present(parallel)=25.0917 ms
sim+ink(parallel)=37.6032 ms, shade+present(parallel)=25.4598 ms
sim+ink(parallel)=40.8451 ms, shade+present(parallel)=25.1436 ms
sim+ink(parallel)=45.0488 ms, shade+present(parallel)=25.614 ms
sim+ink(parallel)=44.7482 ms, shade+present(parallel)=29.294 ms
sim+ink(parallel)=46.4859 ms, shade+present(parallel)=24.2248 ms
FPS: 19
sim+ink(parallel)=52.1927 ms, shade+present(parallel)=27.747 ms
sim+ink(parallel)=54.9915 ms, shade+present(parallel)=25.3031 ms
sim+ink(parallel)=52.392 ms, shade+present(parallel)=27.3276 ms
sim+ink(parallel)=53.9425 ms, shade+present(parallel)=24.2062 ms
sim+ink(parallel)=61.3189 ms, shade+present(parallel)=24.2607 ms
sim+ink(parallel)=58.9434 ms, shade+present(parallel)=24.2471 ms
sim+ink(parallel)=60.3978 ms, shade+present(parallel)=24.8596 ms
sim+ink(parallel)=64.972 ms, shade+present(parallel)=25.2014 ms
sim+ink(parallel)=102.044 ms, shade+present(parallel)=45.7036 ms
sim+ink(parallel)=131.401 ms, shade+present(parallel)=44.4834 ms
sim+ink(parallel)=63.3279 ms, shade+present(parallel)=24.7117 ms
FPS: 17
sim+ink(parallel)=64.9427 ms, shade+present(parallel)=25.0083 ms
sim+ink(parallel)=63.7203 ms, shade+present(parallel)=25.0347 ms
sim+ink(parallel)=61.6988 ms, shade+present(parallel)=25.6649 ms
sim+ink(parallel)=61.4128 ms, shade+present(parallel)=28.3145 ms
sim+ink(parallel)=61.1087 ms, shade+present(parallel)=24.0966 ms
sim+ink(parallel)=64.1933 ms, shade+present(parallel)=24.1042 ms
sim+ink(parallel)=62.5256 ms, shade+present(parallel)=24.137 ms
sim+ink(parallel)=56.2339 ms, shade+present(parallel)=24.2489 ms
