Renderer: opengl
sim+ink(parallel)=18.5959 ms, shade+present(parallel)=25.205 ms
sim+ink(parallel)=18.2998 ms, shade+present(parallel)=26.9205 ms
sim+ink(parallel)=14.8779 ms, shade+present(parallel)=25.8385 ms
sim+ink(parallel)=15.9368 ms, shade+present(parallel)=24.1802 ms
sim+ink(parallel)=16.1727 ms, shade+present(parallel)=25.8705 ms
sim+ink(parallel)=18.351 ms, shade+present(parallel)=30.2286 ms
sim+ink(parallel)=18.7159 ms, shade+present(parallel)=23.3784 ms
sim+ink(parallel)=24.9674 ms, shade+present(parallel)=24.1785 ms
sim+ink(parallel)=22.0427 ms, shade+present(parallel)=24.8443 ms
sim+ink(parallel)=29.7571 ms, shade+present(parallel)=25.003 ms
sim+ink(parallel)=26.2098 ms, shade+present(parallel)=25.3446 ms
sim+ink(parallel)=28.6893 ms, shade+present(parallel)=26.0623 ms
sim+ink(parallel)=31.4887 ms, shade+present(parallel)=25.4398 ms
sim+ink(parallel)=32.4957 ms, shade+present(parallel)=25.4367 ms
sim+ink(parallel)=33.8306 ms, shade+present(parallel)=28.1501 ms
sim+ink(parallel)=35.8889 ms, shade+present(parallel)=24.2533 ms
sim+ink(parallel)=41.2791 ms, shade+present(parallel)=25.1245 ms
sim+ink(parallel)=40.7444 ms, shade+present(parallel)=28.6672 ms
sim+ink(parallel)=42.2383 ms, shade+present(parallel)=25.1006 ms
sim+ink(parallel)=44.7257 ms, shade+present(parallel)=31.9832 ms
FPS: 20
sim+ink(parallel)=49.2582 ms, shade+present(parallel)=25.2794 ms
sim+ink(parallel)=47.8164 ms, shade+present(parallel)=46.7824 ms
sim+ink(parallel)=64.8388 ms, shade+present(parallel)=46.2895 ms
sim+ink(parallel)=56.9861 ms, shade+present(parallel)=29.8103 ms
sim+ink(parallel)=54.4133 ms, shade+present(parallel)=32.1405 ms
sim+ink(parallel)=57.3315 ms, shade+present(parallel)=24.3461 ms
sim+ink(parallel)=60.1473 ms, shade+present(parallel)=25.3208 ms
sim+ink(parallel)=61.9807 ms, shade+present(parallel)=24.8339 ms
sim+ink(parallel)=65.9566 ms, shade+present(parallel)=24.3578 ms
sim+ink(parallel)=65.8435 ms, shade+present(parallel)=24.8266 ms
sim+ink(parallel)=70.7074 ms, shade+present(parallel)=29.6299 ms
sim+ink(parallel)=66.801 ms, shade+present(parallel)=24.2895 ms
FPS: 18
sim+ink(parallel)=61.6988 ms, shade+present(parallel)=31.2711 ms
sim+ink(parallel)=77.253 ms, shade+present(parallel)=29.2676 ms
sim+ink(parallel)=59.9388 ms, shade+present(parallel)=29.0674 ms
sim+ink(parallel)=60.5595 ms, shade+present(parallel)=28.5534 ms
sim+ink(parallel)=60.6251 ms, shade+present(parallel)=24.2849 ms
sim+ink(parallel)=63.8324 ms, shade+present(parallel)=24.4172 ms
sim+ink(parallel)=62.3443 ms, shade+present(parallel)=24.4671 ms
sim+ink(parallel)=60.4172 ms, shade+present(parallel)=25.4625 ms
sim+ink(parallel)=55.263 ms, shade+present(parallel)=25.4075 ms
sim+ink(parallel)=55.8182 ms, shade+present(parallel)=27.1134 ms
sim+ink(parallel)=55.8666 ms, shade+present(parallel)=24.6307 ms
sim+ink(parallel)=55.6974 ms, shade+present(parallel)=24.3181 ms
FPS: 17
sim+ink(parallel)=56.499 ms, shade+present(parallel)=29.8797 ms
sim+ink(parallel)=52.8024 ms, shade+present(parallel)=33.6435 ms
sim+ink(parallel)=52.0761 ms, shade+present(parallel)=24.0963 ms
sim+ink(parallel)=46.8989 ms, shade+present(parallel)=24.1047 ms
sim+ink(parallel)=54.4135 ms, shade+present(parallel)=24.3974 ms
sim+ink(parallel)=47.2207 ms, shade+present(parallel)=24.7074 ms
sim+ink(parallel)=43.3132 ms, shade+present(parallel)=26.5174 ms
sim+ink(parallel)=41.5723 ms, shade+present(parallel)=24.9881 ms
sim+ink(parallel)=40.881 ms, shade+present(parallel)=23.9958 ms
sim+ink(parallel)=34.6907 ms, shade+present(parallel)=28.7858 ms
sim+ink(parallel)=35.7059 ms, shade+present(parallel)=25.0039 ms
sim+ink(parallel)=37.7762 ms, shade+present(parallel)=25.1378 ms
sim+ink(parallel)=40.2547 ms, shade+present(parallel)=36.2624 ms
sim+ink(parallel)=39.4951 ms, shade+present(parallel)=25.2351 ms
FPS: 16
sim+ink(parallel)=42.7187 ms, shade+present(parallel)=25.4265 ms
sim+ink(parallel)=43.5109 ms, shade+present(parallel)=31.6292 ms
sim+ink(parallel)=42.1616 ms, shade+present(parallel)=25.5184 ms
