Renderer: opengl
sim+ink(parallel)=13.9152 ms, shade+present(parallel)=27.9062 ms
sim+ink(parallel)=17.9378 ms, shade+present(parallel)=26.104 ms
sim+ink(parallel)=15.537 ms, shade+present(parallel)=25.916 ms
sim+ink(parallel)=19.1936 ms, shade+present(parallel)=24.9456 ms
sim+ink(parallel)=16.4114 ms, shade+present(parallel)=23.9822 ms
sim+ink(parallel)=17.493 ms, shade+present(parallel)=24.556 ms
sim+ink(parallel)=18.5711 ms, shade+present(parallel)=23.1971 ms
sim+ink(parallel)=20.2834 ms, shade+present(parallel)=24.5427 ms
sim+ink(parallel)=19.9189 ms, shade+present(parallel)=24.5684 ms
sim+ink(parallel)=22.3832 ms, shade+present(parallel)=23.6698 ms
sim+ink(parallel)=23.1631 ms, shade+present(parallel)=23.2283 ms
sim+ink(parallel)=25.4596 ms, shade+present(parallel)=24.8137 ms
sim+ink(parallel)=26.1589 ms, shade+present(parallel)=23.103 ms
sim+ink(parallel)=27.0508 ms, shade+present(parallel)=25.2021 ms
sim+ink(parallel)=28.618 ms, shade+present(parallel)=22.4775 ms
sim+ink(parallel)=29.0573 ms, shade+present(parallel)=25.1573 ms
sim+ink(parallel)=30.688 ms, shade+present(parallel)=22.3179 ms
sim+ink(parallel)=33.908 ms, shade+present(parallel)=22.2514 ms
sim+ink(parallel)=33.617 ms, shade+present(parallel)=27.9982 ms
sim+ink(parallel)=35.5372 ms, shade+present(parallel)=22.247 ms
sim+ink(parallel)=36.6429 ms, shade+present(parallel)=25.2921 ms
sim+ink(parallel)=38.0315 ms, shade+present(parallel)=22.4919 ms
FPS: 21
sim+ink(parallel)=41.6875 ms, shade+present(parallel)=28.4992 ms
sim+ink(parallel)=41.5114 ms, shade+present(parallel)=23.5908 ms
sim+ink(parallel)=42.0412 ms, shade+present(parallel)=22.4076 ms
sim+ink(parallel)=45.1563 ms, shade+present(parallel)=22.3637 ms
sim+ink(parallel)=48.9879 ms, shade+present(parallel)=24.959 ms
sim+ink(parallel)=46.5239 ms, shade+present(parallel)=22.3221 ms
sim+ink(parallel)=48.7419 ms, shade+present(parallel)=22.753 ms
sim+ink(parallel)=52.4376 ms, shade+present(parallel)=24.8478 ms
sim+ink(parallel)=50.9072 ms, shade+present(parallel)=23.9286 ms
sim+ink(parallel)=51.9518 ms, shade+present(parallel)=22.5113 ms
sim+ink(parallel)=54.6426 ms, shade+present(parallel)=22.598 ms
sim+ink(parallel)=57.1072 ms, shade+present(parallel)=22.3376 ms
sim+ink(parallel)=56.0287 ms, shade+present(parallel)=23.8618 ms
sim+ink(parallel)=51.4046 ms, shade+present(parallel)=22.5812 ms
FPS: 20
sim+ink(parallel)=55.7279 ms, shade+present(parallel)=22.5372 ms
sim+ink(parallel)=51.955 ms, shade+present(parallel)=22.5523 ms
sim+ink(parallel)=51.9261 ms, shade+present(parallel)=24.9596 ms
sim+ink(parallel)=51.4604 ms, shade+present(parallel)=26.3575 ms
sim+ink(parallel)=53.4708 ms, shade+present(parallel)=22.7151 ms
sim+ink(parallel)=51.9146 ms, shade+present(parallel)=22.517 ms
sim+ink(parallel)=52.5319 ms, shade+present(parallel)=27.6176 ms
sim+ink(parallel)=53.3186 ms, shade+present(parallel)=25.0267 ms
sim+ink(parallel)=49.9964 ms, shade+present(parallel)=22.2781 ms
sim+ink(parallel)=49.8493 ms, shade+present(parallel)=22.6864 ms
sim+ink(parallel)=51.0906 ms, shade+present(parallel)=25.137 ms
sim+ink(parallel)=47.8215 ms, shade+present(parallel)=22.1998 ms
sim+ink(parallel)=48.1482 ms, shade+present(parallel)=22.1959 ms
sim+ink(parallel)=46.8116 ms, shade+present(parallel)=26.7825 ms
FPS: 19
sim+ink(parallel)=47.8189 ms, shade+present(parallel)=25.5734 ms
sim+ink(parallel)=45.9431 ms, shade+present(parallel)=22.728 ms
sim+ink(parallel)=45.2463 ms, shade+present(parallel)=22.7098 ms
sim+ink(parallel)=42.3857 ms, shade+present(parallel)=24.1216 ms
sim+ink(parallel)=39.78 ms, shade+present(parallel)=22.6063 ms
