Renderer: opengl
sim+ink(parallel)=61.2573 ms, shade+present(parallel)=25.5144 ms
sim+ink(parallel)=27.3246 ms, shade+present(parallel)=30.1652 ms
sim+ink(parallel)=16.8926 ms, shade+present(parallel)=24.1122 ms
sim+ink(parallel)=16.7584 ms, shade+present(parallel)=24.0607 ms
sim+ink(parallel)=21.3799 ms, shade+present(parallel)=23.4981 ms
sim+ink(parallel)=19.8584 ms, shade+present(parallel)=23.6228 ms
sim+ink(parallel)=20.9888 ms, shade+present(parallel)=22.8181 ms
sim+ink(parallel)=22.4383 ms, shade+present(parallel)=22.6689 ms
sim+ink(parallel)=23.0624 ms, shade+present(parallel)=24.3024 ms
sim+ink(parallel)=27.382 ms, shade+present(parallel)=22.6368 ms
sim+ink(parallel)=24.5551 ms, shade+present(parallel)=24.5498 ms
sim+ink(parallel)=28.3053 ms, shade+present(parallel)=22.8824 ms
sim+ink(parallel)=29.5878 ms, shade+present(parallel)=24.7406 ms
sim+ink(parallel)=29.5115 ms, shade+present(parallel)=22.8711 ms
sim+ink(parallel)=33.0304 ms, shade+present(parallel)=22.5084 ms
sim+ink(parallel)=31.9478 ms, shade+present(parallel)=22.3509 ms
sim+ink(parallel)=33.7932 ms, shade+present(parallel)=22.1765 ms
sim+ink(parallel)=34.3533 ms, shade+present(parallel)=22.2153 ms
sim+ink(parallel)=36.9092 ms, shade+present(parallel)=27.2045 ms
sim+ink(parallel)=48.1852 ms, shade+present(parallel)=21.6946 ms
sim+ink(parallel)=39.5154 ms, shade+present(parallel)=22.3744 ms
FPS: 20
sim+ink(parallel)=43.8494 ms, shade+present(parallel)=22.2836 ms
sim+ink(parallel)=50.3922 ms, shade+present(parallel)=22.6004 ms
sim+ink(parallel)=43.4926 ms, shade+present(parallel)=24.4335 ms
sim+ink(parallel)=45.0365 ms, shade+present(parallel)=22.2705 ms
sim+ink(parallel)=47.5585 ms, shade+present(parallel)=22.4001 ms
sim+ink(parallel)=48.878 ms, shade+present(parallel)=25.8026 ms
