Renderer: opengl
sim+ink(parallel)=18.0972 ms, shade+present(parallel)=25.9273 ms
sim+ink(parallel)=19.0859 ms, shade+present(parallel)=27.4576 ms
sim+ink(parallel)=17.613 ms, shade+present(parallel)=25.3834 ms
sim+ink(parallel)=17.0144 ms, shade+present(parallel)=26.0732 ms
sim+ink(parallel)=18.523 ms, shade+present(parallel)=25.2487 ms
sim+ink(parallel)=20.5086 ms, shade+present(parallel)=29.993 ms
sim+ink(parallel)=22.1791 ms, shade+present(parallel)=25.0103 ms
sim+ink(parallel)=23.2857 ms, shade+present(parallel)=25.6259 ms
sim+ink(parallel)=25.9418 ms, shade+present(parallel)=25.7275 ms
sim+ink(parallel)=26.9871 ms, shade+present(parallel)=25.9019 ms
sim+ink(parallel)=29.0472 ms, shade+present(parallel)=30.1709 ms
sim+ink(parallel)=30.2045 ms, shade+present(parallel)=26.3365 ms
sim+ink(parallel)=32.2014 ms, shade+present(parallel)=25.1197 ms
sim+ink(parallel)=35.2697 ms, shade+present(parallel)=24.9753 ms
sim+ink(parallel)=35.2206 ms, shade+present(parallel)=32.9535 ms
sim+ink(parallel)=37.6462 ms, shade+present(parallel)=24.1528 ms
sim+ink(parallel)=39.2236 ms, shade+present(parallel)=27.0636 ms
sim+ink(parallel)=41.366 ms, shade+present(parallel)=24.0709 ms
sim+ink(parallel)=43.8235 ms, shade+present(parallel)=28.7006 ms
sim+ink(parallel)=45.2319 ms, shade+present(parallel)=24.3472 ms
FPS: 19
sim+ink(parallel)=47.4223 ms, shade+present(parallel)=27.255 ms
sim+ink(parallel)=49.4749 ms, shade+present(parallel)=25.0379 ms
sim+ink(parallel)=53.141 ms, shade+present(parallel)=25.5356 ms
sim+ink(parallel)=53.4959 ms, shade+present(parallel)=24.2174 ms
sim+ink(parallel)=54.9525 ms, shade+present(parallel)=27.4344 ms
sim+ink(parallel)=57.3716 ms, shade+present(parallel)=28.7213 ms
sim+ink(parallel)=57.6785 ms, shade+present(parallel)=24.4571 ms
sim+ink(parallel)=62.1421 ms, shade+present(parallel)=24.1363 ms
sim+ink(parallel)=65.006 ms, shade+present(parallel)=24.6089 ms
sim+ink(parallel)=65.243 ms, shade+present(parallel)=25.8333 ms
sim+ink(parallel)=83.4201 ms, shade+present(parallel)=24.2536 ms
sim+ink(parallel)=60.6217 ms, shade+present(parallel)=24.285 ms
FPS: 18
sim+ink(parallel)=62.7309 ms, shade+present(parallel)=25.556 ms
sim+ink(parallel)=66.132 ms, shade+present(parallel)=24.4517 ms
sim+ink(parallel)=61.5341 ms, shade+present(parallel)=25.7678 ms
sim+ink(parallel)=61.7591 ms, shade+present(parallel)=26.0108 ms
sim+ink(parallel)=63.0484 ms, shade+present(parallel)=24.3698 ms
sim+ink(parallel)=63.092 ms, shade+present(parallel)=24.2605 ms
sim+ink(parallel)=64.4438 ms, shade+present(parallel)=24.1656 ms
sim+ink(parallel)=62.2748 ms, shade+present(parallel)=24.2576 ms
sim+ink(parallel)=57.6546 ms, shade+present(parallel)=24.3313 ms
sim+ink(parallel)=55.5374 ms, shade+present(parallel)=25.2908 ms
sim+ink(parallel)=57.1417 ms, shade+present(parallel)=24.4243 ms
sim+ink(parallel)=55.7948 ms, shade+present(parallel)=24.4886 ms
FPS: 17
sim+ink(parallel)=56.298 ms, shade+present(parallel)=25.1017 ms
sim+ink(parallel)=57.7198 ms, shade+present(parallel)=25.2403 ms
sim+ink(parallel)=53.0423 ms, shade+present(parallel)=25.2032 ms
sim+ink(parallel)=49.3824 ms, shade+present(parallel)=24.1914 ms
sim+ink(parallel)=47.482 ms, shade+present(parallel)=26.6074 ms
sim+ink(parallel)=47.789 ms, shade+present(parallel)=25.3487 ms
