Renderer: opengl
sim+ink(parallel)=20.754 ms, shade+present(parallel)=26.3581 ms
sim+ink(parallel)=24.455 ms, shade+present(parallel)=30.5548 ms
sim+ink(parallel)=23.1657 ms, shade+present(parallel)=25.476 ms
sim+ink(parallel)=24.5302 ms, shade+present(parallel)=24.5128 ms
sim+ink(parallel)=28.5126 ms, shade+present(parallel)=23.3119 ms
sim+ink(parallel)=28.5476 ms, shade+present(parallel)=25.2237 ms
sim+ink(parallel)=32.808 ms, shade+present(parallel)=28.3182 ms
sim+ink(parallel)=38.5171 ms, shade+present(parallel)=26.0474 ms
sim+ink(parallel)=41.0646 ms, shade+present(parallel)=25.6396 ms
sim+ink(parallel)=47.1984 ms, shade+present(parallel)=25.8228 ms
sim+ink(parallel)=51.5372 ms, shade+present(parallel)=25.7692 ms
sim+ink(parallel)=56.7462 ms, shade+present(parallel)=25.3016 ms
sim+ink(parallel)=58.8296 ms, shade+present(parallel)=29.4162 ms
sim+ink(parallel)=65.9436 ms, shade+present(parallel)=28.903 ms
sim+ink(parallel)=67.1664 ms, shade+present(parallel)=29.097 ms
sim+ink(parallel)=71.6431 ms, shade+present(parallel)=34.64 ms
FPS: 16
sim+ink(parallel)=127.105 ms, shade+present(parallel)=46.8321 ms
sim+ink(parallel)=92.7857 ms, shade+present(parallel)=29.3137 ms
sim+ink(parallel)=93.0466 ms, shade+present(parallel)=25.2499 ms
sim+ink(parallel)=96.6325 ms, shade+present(parallel)=26.159 ms
sim+ink(parallel)=99.7642 ms, shade+present(parallel)=25.3455 ms
sim+ink(parallel)=106.65 ms, shade+present(parallel)=28.8766 ms
sim+ink(parallel)=110.39 ms, shade+present(parallel)=25.4624 ms
sim+ink(parallel)=105.174 ms, shade+present(parallel)=25.5658 ms
FPS: 14
sim+ink(parallel)=98.5981 ms, shade+present(parallel)=28.1773 ms
sim+ink(parallel)=102.774 ms, shade+present(parallel)=25.2558 ms
sim+ink(parallel)=101.774 ms, shade+present(parallel)=25.2165 ms
sim+ink(parallel)=106.502 ms, shade+present(parallel)=25.3922 ms
sim+ink(parallel)=102.056 ms, shade+present(parallel)=27.7809 ms
